ID,Comp1_CT,Comp1_SA,Comp1_T1,Comp1_T2,Comp2_CT,Comp2_SA,Comp2_T1,Comp2_T2,Comp3_CT,Comp3_SA,Comp3_T1,Comp3_T2,Comp4_CT,Comp4_SA,Comp4_T1,Comp4_T2
ADB0226,1430.9348677882383,1594.7562614237481,1475.3714423145007,1492.0138529859742,1486.991292908198,1357.659866182135,1386.8607329300157,1483.3226638574486,1304.628500426401,1359.0629805546282,1442.2995111416817,1514.5830225964053,1014.7815870544033,984.1175971489041,991.4852529995825,930.9596311546837
ADB0228,1556.0683872421776,1619.839314082929,1467.905671829438,1522.0597601562897,1589.3835110957575,1363.8535182479245,1433.297285666008,1483.112911663012,1381.3229145164248,1336.2185146761149,1473.3093398040564,1459.7886589068557,1052.5665376318402,977.9900817434626,1010.5619535814199,944.6077321667135
ADB0232,1558.0427440549422,1760.9939741540586,1602.4302942897582,1517.7530130541156,1598.4752372087157,1448.9002266029956,1533.308999493574,1488.2034068333307,1375.4041654608334,1461.8505990735848,1585.9554051100808,1480.2144281838878,1063.1024990949118,1050.5354186669917,1084.6299088007006,911.1078510693694
ADB0233,1588.1161352998706,1625.1373520559428,1508.6876295246982,1515.9931196384152,1612.7084236530432,1375.7426713076015,1491.9017892617278,1492.1292950040174,1421.962351254626,1349.8342031936315,1535.5294747702749,1465.1428031269822,1090.0795919076897,992.8891938079543,1026.701467072598,918.9471170704285
ADB0234,1503.7215616096032,1672.2532909835566,1501.7885332000676,1519.026393618778,1538.63030007877,1380.6270936925143,1417.4466308710655,1498.1838230271992,1352.9428233159013,1352.4968979491657,1470.0186581055377,1471.811267458094,1023.7103880691191,1012.6992332860907,996.2002974344439,908.3286991423281
ADB0235,1433.7865857134254,1518.9782481967143,1476.1023542529806,1513.642025002844,1486.8434782803267,1286.3807833099988,1420.1975993185129,1480.33613068636,1295.1906261265237,1248.092978691247,1493.5250274822165,1504.936694538736,989.6075138273338,923.8259686776163,1014.0543092563253,901.2079301554849
ADB0238,1548.764140288206,1616.2394187398222,1463.3201316425575,1489.74909266715,1532.3214419099513,1369.4892279598635,1430.1338406653865,1484.5190749971198,1354.9136767477194,1343.0183918075584,1513.826268200818,1478.487407981543,1049.0913549340194,1002.6257758512093,999.9176713831705,934.9994690976196
ADB0239,1517.2467080572344,1650.6993878512374,1475.2840650051946,1502.6318736494138,1529.7194940501015,1396.7733883135338,1419.461766529712,1496.1367819053078,1329.6410718811233,1373.8711137772498,1467.2557533038917,1470.5650657778287,1038.07504448835,1039.0993123717242,993.0826445597221,919.131231823692
ADB0240,1608.8406300610266,1708.1872700535196,1545.6554547787123,1512.2793508396492,1614.2723321659664,1381.5295154556043,1499.5354599663103,1499.8872535029734,1398.2093948727454,1402.4472805817195,1560.0105205730617,1471.02951091366,1104.1503892597711,989.5437079009138,1068.0216540546253,908.8159796280103
ADB0241,1543.294313488241,1602.1123384971643,1517.049815241072,1519.4604066998056,1570.3183688718577,1321.1551651656657,1482.7540887215812,1490.375010357232,1384.3756782536834,1306.0335220357424,1523.9341422041512,1486.4086201647037,1058.2780737194046,978.1538149637488,1038.3271122937,911.3541003628247
